accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,best_params,model
0.9748653500897666,0.9744888868962999,0.9748653500897666,0.9745705427658132,0.9552892640295059,0.9344159682859825,0.9445001957225722,{'alpha': 0.1},nb
0.9802513464991023,0.9800055357153817,0.9802513464991023,0.9800197121731389,0.9674691857456285,0.9460374865250201,0.9563930109248782,"{'C': 5.0, 'penalty': 'l2'}",lr
0.9802513464991023,0.9800111740465383,0.9802513464991023,0.9799593865228756,0.9702121379819222,0.9431999165420594,0.9561354524627721,{'C': 0.5},svm
0.9649910233393177,0.9653126935620086,0.9649910233393177,0.9651382352692374,0.9215655432760697,0.9287164864206976,0.9250965903311398,{'alpha': 0.1},nb
0.9766606822262118,0.9764438700437899,0.9766606822262118,0.9765260471561479,0.954329027436746,0.9439649476649163,0.9490604928631226,"{'C': 5.0, 'penalty': 'l2'}",lr
0.9748653500897666,0.9745453392122415,0.9748653500897666,0.9746460657063513,0.9527845995405213,0.9372535382689433,0.9448233895618703,{'C': 0.5},svm
0.9614003590664273,0.9607654553039509,0.9614003590664273,0.9610058485993992,0.9237596360053324,0.9067809576798693,0.9150171998715553,{'alpha': 2.0},nb
0.9757630161579892,0.9754304041625315,0.9757630161579892,0.9755153002833437,0.956043876427288,0.9377716729839691,0.9466387068960929,"{'C': 5.0, 'penalty': 'l2'}",lr
0.9748653500897666,0.9745453392122415,0.9748653500897666,0.9746460657063513,0.9527845995405213,0.9372535382689433,0.9448233895618703,{'C': 0.5},svm
